datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
250320184008.284,0.060,0.0000,1.3614,-3.0591,0.9913,0.1314,0.0000,0.0000,15.1000,0.0000,0.0000
250320184008.289,0.180,0.0000,1.3614,-3.0591,0.9913,0.1314,0.0000,0.0000,15.1000,0.0000,0.0000
250320184008.292,0.300,0.0000,1.3614,-3.0591,0.9913,0.1314,0.0000,0.0000,15.1000,0.0000,0.0000
250320184008.429,0.420,0.0000,1.3614,-3.0591,0.9913,0.1314,0.0000,0.0000,15.1000,0.0000,0.0000
250320184008.718,0.540,0.0000,1.3614,-3.0591,0.9913,0.1314,0.0000,0.0000,15.1000,0.0000,0.0000
250320184008.722,0.660,0.0000,1.3614,-3.0591,0.9913,0.1314,0.0000,0.0000,15.1000,0.0000,0.0000
250320184008.866,0.780,0.0000,1.3614,-3.0591,0.9944,0.1054,0.0000,0.0000,12.1000,0.0000,0.0000
250320184008.880,0.900,0.0000,1.3614,-3.0591,0.9990,0.0454,0.0000,0.0000,5.2000,0.0000,0.0000
250320184009.021,1.020,0.0000,1.3614,-3.0591,0.9993,0.0375,0.0000,0.0000,4.3000,0.0000,0.0000
250320184009.175,1.140,0.0000,1.3614,-3.0591,0.9987,-0.0515,0.0000,0.0000,354.1000,0.0000,0.0000
250320184009.337,1.260,0.0000,1.3614,-3.0591,0.9895,-0.1444,0.0000,0.0000,343.4000,0.0000,0.0000
250320184009.485,1.380,0.0000,1.3614,-3.0591,0.9799,-0.1994,0.0000,0.0000,337.0000,0.0000,0.0000
250320184009.491,1.500,0.0000,1.3614,-3.0591,0.9799,-0.1994,0.0000,0.0000,337.0000,0.0000,0.0000
250320184009.638,1.620,0.0000,1.3614,-3.0591,0.9679,-0.2512,0.0000,0.0000,330.9000,0.0000,0.0000
250320184009.788,1.740,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184009.929,1.860,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.099,1.980,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.105,2.100,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.277,2.220,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.447,2.340,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.452,2.460,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.619,2.580,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.788,2.700,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.956,2.820,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184010.962,2.940,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184011.131,3.060,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184011.301,3.180,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
250320184011.306,3.300,0.0000,1.3614,-3.0591,0.9655,-0.2605,0.0000,0.0000,329.8000,0.0000,0.0000
