datetime,sessionTime,ExciteOMeter
250320185627.606,0.800,0.50269
250320185627.606,1.780,0.43102
250320185627.606,2.760,0.64443
250320185627.606,2.760,0.56940
250320185627.606,3.760,0.55281
250320185627.606,4.740,0.71268
250320185627.606,5.720,0.91189
250320185627.606,5.720,0.82558
250320185627.606,6.800,0.55952
250320185627.606,7.780,0.79769
250320185627.606,8.760,0.89580
250320185627.606,9.840,0.62759
250320185627.606,10.720,0.68364
250320185627.606,10.720,0.79436
250320185627.606,11.800,0.71633
250320185627.606,12.780,0.44554
250320185627.606,13.760,0.48774
250320185627.606,14.760,0.68585
250320185627.606,15.820,0.71330
250320185627.606,15.820,0.36678
250320185627.606,16.720,0.33146
250320185627.606,17.800,0.37608
250320185627.606,18.780,0.65819
250320185627.606,19.760,0.73136
250320185627.606,20.500,0.35419
250320185627.606,20.500,0.30488
250320185627.606,21.500,0.52417
250320185627.606,22.480,0.77283
250320185627.606,23.460,0.62633
250320185627.606,24.440,0.53200
250320185627.606,25.520,0.11448
250320185627.606,26.520,0.23084
250320185627.606,26.520,0.41244
250320185627.606,27.500,0.15936
250320185627.606,28.480,0.16365
250320185627.606,29.560,0.38809
250320185627.606,29.560,0.48173
250320185627.606,30.520,0.48625
250320185627.606,31.500,0.11939
250320185627.606,32.480,0.11060
250320185627.606,33.480,0.42786
250320185627.606,34.460,0.80936
250320185627.607,34.460,0.80626
250320185627.607,35.540,0.30412
250320185627.607,36.520,0.45384
250320185627.607,37.500,0.65327
250320185627.607,38.480,0.81040
250320185627.607,38.480,0.54905
250320185627.607,39.460,0.62063
250320185627.607,39.940,0.69646
250320185627.607,41.180,0.63450
250320185627.607,42.160,0.24984
250320185627.607,43.260,0.41440
250320185627.607,43.260,0.52779
250320185627.607,44.180,0.80492
250320185627.607,45.240,0.58190
250320185627.607,46.260,0.62753
250320185627.607,47.160,0.79232
250320185627.607,48.160,0.65587
250320185627.607,48.160,0.20927
250320185627.607,49.160,0.36723
250320185627.607,50.160,0.62195
250320185627.607,51.160,0.44817
250320185627.607,52.160,0.38295
250320185627.607,52.160,0.51861
250320185627.607,53.180,0.68097
250320185627.607,54.180,0.42586
250320185627.607,55.180,0.18391
250320185627.607,56.160,0.33664
250320185627.607,57.180,0.47548
250320185627.607,58.180,0.21375
250320185627.607,59.180,0.17685
250320185627.607,59.180,0.24835
250320185627.607,59.960,0.30366
250320185627.607,60.860,0.18174
