datetime,sessionTime,RMSSD
250320185533.432,0.800,62.343
250320185533.432,1.780,62.343
250320185534.412,2.760,63.191
250320185535.492,2.760,64.535
250320185536.362,3.760,62.019
250320185536.477,4.740,64.865
250320185537.459,5.720,58.517
250320185538.440,5.720,62.329
250320185539.422,6.800,63.183
250320185540.404,7.780,53.980
250320185541.488,8.760,54.773
250320185541.580,9.840,56.172
250320185542.353,10.720,49.223
250320185543.450,10.720,50.229
250320185544.436,11.800,59.004
250320185545.422,12.780,59.559
250320185546.433,13.760,60.827
250320185546.546,14.760,63.155
250320185547.435,15.820,62.099
250320185548.415,15.820,66.967
250320185549.384,16.720,66.071
250320185550.375,17.800,67.668
250320185551.477,18.780,67.228
250320185552.455,19.760,63.067
250320185552.552,20.500,65.979
250320185553.434,20.500,64.018
250320185554.413,21.500,60.306
250320185555.490,22.480,59.991
250320185555.589,23.460,58.057
250320185556.469,24.440,55.090
250320185557.446,25.520,72.685
250320185558.427,26.520,75.241
250320185559.410,26.520,80.801
250320185600.388,27.500,78.046
250320185600.483,28.480,77.358
250320185601.471,29.560,83.554
250320185602.451,29.560,80.999
250320185603.434,30.520,85.087
250320185604.416,31.500,83.032
250320185604.514,32.480,71.745
250320185605.395,33.480,68.764
250320185606.416,34.460,61.487
250320185607.407,34.460,57.409
250320185608.390,35.540,66.331
250320185609.507,36.520,65.553
250320185609.621,37.500,67.457
250320185610.437,38.480,60.798
250320185611.482,38.480,64.430
250320185612.507,39.460,61.166
250320185613.419,39.940,64.709
250320185614.412,41.180,64.321
250320185614.523,42.160,67.094
250320185615.414,43.260,59.696
250320185616.417,43.260,65.431
250320185617.417,44.180,58.163
250320185618.415,45.240,58.771
250320185618.507,46.260,57.984
250320185619.420,47.160,59.880
250320185620.417,48.160,61.503
250320185621.414,48.160,69.595
250320185622.418,49.160,69.595
250320185623.416,50.160,68.455
250320185624.430,51.160,69.560
250320185625.434,52.160,66.601
250320185625.542,52.160,68.794
250320185626.795,53.180,66.351
250320185627.480,54.180,68.575
250320185627.598,55.180,68.575
250320185627.598,56.160,68.575
250320185627.599,57.180,68.575
250320185627.599,58.180,68.575
250320185627.599,59.180,68.575
250320185627.599,59.180,68.575
250320185627.599,59.960,68.575
250320185627.599,60.860,68.575
