datetime,sessionTime,RRi
250320185526.349,0.800,849.609
250320185527.340,1.780,875.000
250320185528.319,2.760,800.781
250320185528.319,2.760,812.500
250320185529.310,3.760,836.914
250320185530.288,4.740,752.930
250320185531.269,5.720,687.500
250320185531.269,5.720,699.219
250320185532.347,6.800,826.172
250320185533.331,7.780,803.711
250320185534.312,8.760,763.672
250320185535.394,9.840,847.656
250320185536.278,10.720,843.750
250320185536.278,10.720,810.547
250320185537.357,11.800,808.594
250320185538.334,12.780,900.391
250320185539.323,13.760,867.188
250320185540.306,14.760,787.109
250320185541.373,15.820,787.109
250320185541.374,15.820,852.539
250320185542.274,16.720,874.023
250320185543.350,17.800,843.750
250320185544.324,18.780,745.117
250320185545.314,19.760,769.531
250320185546.333,20.500,866.211
250320185546.333,20.500,930.664
250320185547.332,21.500,858.398
250320185548.316,22.480,783.203
250320185549.302,23.460,839.844
250320185550.287,24.440,888.672
250320185551.355,25.520,908.203
250320185552.359,26.520,843.750
250320185552.359,26.520,775.391
250320185553.339,27.500,859.375
250320185554.318,28.480,859.375
250320185555.390,29.560,783.203
250320185555.390,29.560,731.445
250320185556.366,30.520,717.773
250320185557.346,31.500,868.164
250320185558.328,32.480,929.688
250320185559.318,33.480,820.313
250320185600.294,34.460,748.047
250320185600.295,34.460,788.086
250320185601.373,35.540,882.813
250320185602.354,36.520,837.891
250320185603.339,37.500,744.141
250320185604.315,38.480,757.813
250320185604.316,38.480,819.336
250320185605.295,39.460,823.242
250320185606.393,39.940,764.648
250320185607.311,41.180,793.945
250320185608.293,42.160,901.367
250320185609.389,43.260,925.781
250320185609.390,43.260,817.383
250320185610.317,44.180,784.180
250320185611.363,45.240,849.609
250320185612.385,46.260,839.844
250320185613.303,47.160,776.367
250320185614.299,48.160,810.547
250320185614.299,48.160,887.695
250320185615.300,49.160,832.031
250320185616.302,50.160,748.047
250320185617.301,51.160,808.594
250320185618.299,52.160,850.586
250320185618.299,52.160,791.992
250320185619.310,53.180,746.094
250320185620.306,54.180,822.266
250320185621.308,55.180,925.781
250320185622.301,56.160,848.633
250320185623.307,57.180,807.617
250320185624.314,58.180,899.414
250320185625.323,59.180,936.523
250320185625.323,59.180,880.859
250320185626.770,59.960,859.375
250320185627.352,60.860,928.711
