datetime,sessionTime,ExciteOMeter
250320190643.913,0.000,0.44977
250320190643.913,0.000,0.32039
250320190643.913,1.040,0.31634
250320190643.913,2.100,0.03090
250320190643.913,3.020,0.33128
250320190643.913,3.940,0.43347
250320190643.913,3.940,0.43594
250320190643.913,5.000,0.63602
250320190643.913,6.060,0.85994
250320190643.913,6.060,0.86917
250320190643.913,6.980,0.86342
250320190643.913,6.980,0.93288
250320190643.913,8.020,0.96977
250320190643.913,9.080,0.97368
250320190643.913,9.080,0.97217
250320190643.913,10.000,0.97052
250320190643.914,10.000,0.96962
250320190643.914,11.060,0.94137
250320190643.914,11.980,0.91885
250320190643.914,11.980,0.93347
250320190643.914,13.040,0.93683
250320190643.914,13.960,0.81086
250320190643.914,13.960,0.82277
250320190643.914,15.020,0.82468
250320190643.914,15.960,0.71670
250320190643.914,15.960,0.65045
250320190643.914,17.020,0.53971
250320190643.914,18.060,0.64833
250320190643.914,18.060,0.64889
250320190643.914,18.980,0.42248
250320190643.914,19.900,0.52109
250320190643.914,19.900,0.56274
250320190643.914,20.520,0.32545
250320190643.914,21.440,0.37554
250320190643.914,21.440,0.50247
250320190643.914,22.620,0.50418
250320190643.914,23.560,0.40407
250320190643.914,24.480,0.24747
250320190643.914,25.540,0.37461
250320190643.914,25.540,0.27091
250320190643.914,26.460,0.10960
250320190643.914,27.520,0.29508
250320190643.914,27.520,0.48589
250320190643.914,28.560,0.31354
250320190643.914,29.500,0.28407
250320190643.914,30.560,0.39051
250320190643.914,30.560,0.24093
250320190643.914,31.480,0.22560
250320190643.914,32.520,0.43683
250320190643.914,32.520,0.72875
250320190643.914,33.460,0.80953
250320190643.914,34.520,0.73979
250320190643.914,35.580,0.49604
250320190643.914,35.580,0.57834
250320190643.914,36.500,0.40813
250320190643.914,37.560,0.47919
250320190643.914,38.480,0.43082
250320190643.914,39.540,0.45857
250320190643.914,39.540,0.40075
250320190643.914,39.920,0.41388
250320190643.914,41.060,0.53326
250320190643.915,41.980,0.56514
250320190643.915,41.980,0.66472
250320190643.915,43.040,0.48303
250320190643.915,43.960,0.57878
250320190643.915,45.020,0.61450
250320190643.915,45.020,0.59543
250320190643.915,46.060,0.72634
250320190643.915,46.060,0.80219
250320190643.915,47.000,0.81780
250320190643.915,48.040,0.78465
250320190643.915,49.100,0.55792
250320190643.915,50.020,0.63959
250320190643.915,50.020,0.61163
250320190643.915,51.080,0.67022
250320190643.915,52.000,0.65342
250320190643.915,52.000,0.68046
250320190643.915,53.060,0.77834
250320190643.915,53.980,0.80649
250320190643.915,53.980,0.82290
250320190643.915,55.020,0.91422
250320190643.915,55.960,0.92971
250320190643.915,55.960,0.90932
250320190643.915,57.020,0.91119
250320190643.915,58.080,0.89827
250320190643.915,58.080,0.88863
250320190643.915,59.000,0.84513
250320190643.915,59.000,0.87331
250320190643.915,60.060,0.84749
250320190643.915,60.540,0.73866
250320190643.915,61.460,0.67630
250320190643.915,61.460,0.75900
250320190643.915,62.520,0.64666
250320190643.915,63.580,0.42083
250320190643.915,63.580,0.47803
250320190643.915,64.500,0.46900
250320190643.915,65.560,0.59198
250320190643.916,66.480,0.63970
250320190643.916,66.480,0.40979
250320190643.916,67.540,0.44433
250320190643.916,68.600,0.38924
250320190643.916,69.520,0.09958
250320190643.916,69.520,0.28817
250320190643.916,70.580,0.23696
250320190643.916,71.500,0.23157
250320190643.916,72.560,0.15909
250320190643.916,73.620,0.08283
250320190643.916,73.620,0.12205
250320190643.916,74.540,0.22478
250320190643.916,75.580,0.11348
250320190643.916,76.500,0.21628
250320190643.916,77.560,0.24091
250320190643.916,77.560,0.28038
250320190643.916,78.480,0.20239
250320190643.916,79.540,0.26455
250320190643.916,80.060,0.21966
250320190643.916,80.060,0.06505
250320190643.916,81.060,0.19892
250320190643.916,82.120,0.22740
250320190643.916,83.040,0.11577
250320190643.916,83.980,0.17695
250320190643.916,83.980,0.15547
250320190643.916,85.040,0.12597
250320190643.916,85.960,0.21533
250320190643.916,87.140,0.33272
250320190643.916,87.140,0.29083
250320190643.916,88.080,0.26473
250320190643.916,89.000,0.23748
250320190643.916,90.040,0.03582
250320190643.916,91.100,0.26397
250320190643.916,91.100,0.29700
250320190643.916,92.020,0.12742
250320190643.916,93.080,0.27854
250320190643.916,94.020,0.27049
250320190643.916,95.060,0.23584
250320190643.916,96.000,0.33991
250320190643.916,96.000,0.41665
250320190643.916,97.060,0.37351
250320190643.917,97.980,0.51631
250320190643.917,99.040,0.59412
250320190643.917,99.040,0.42914
250320190643.917,99.960,0.41160
250320190643.917,100.580,0.50216
250320190643.917,101.500,0.51921
250320190643.917,101.500,0.41371
250320190643.917,102.560,0.45542
250320190643.917,103.480,0.40453
250320190643.917,104.540,0.25719
250320190643.917,104.540,0.45575
250320190643.917,105.600,0.61508
250320190643.917,106.500,0.58208
250320190643.917,106.500,0.53127
250320190643.917,107.600,0.59244
250320190643.917,108.500,0.42007
250320190643.917,109.560,0.38270
250320190643.918,109.560,0.54023
250320190643.918,110.480,0.53416
250320190643.918,111.520,0.47238
250320190643.918,112.580,0.39733
250320190643.918,112.580,0.34494
250320190643.918,113.480,0.21205
250320190643.918,114.500,0.34730
250320190643.918,115.540,0.28570
250320190643.918,115.540,0.15851
250320190643.918,116.440,0.28301
250320190643.918,117.460,0.26720
250320190643.918,136.740,0.56006
250320190643.918,136.740,0.57088
250320190643.918,137.680,0.58262
250320190643.918,138.660,0.57637
250320190643.918,138.660,0.53950
