datetime,sessionTime,RRi
250320200754.216,0.160,714.844
250320200754.216,0.160,706.055
250320200755.225,1.160,678.711
250320200756.230,2.160,660.156
250320200756.230,2.160,666.992
250320200757.247,3.180,664.063
250320200758.249,4.180,666.016
250320200758.249,4.180,663.086
250320200759.248,5.180,672.852
250320200800.253,6.200,665.039
250320200800.253,6.200,651.367
250320200801.254,7.200,668.945
250320200802.252,8.200,694.336
250320200803.260,9.200,731.445
250320200803.260,9.200,713.867
250320200804.257,10.200,732.422
250320200805.260,11.200,688.477
250320200805.260,11.200,696.289
250320200806.264,12.200,674.805
250320200807.269,13.200,645.508
250320200807.269,13.200,641.602
250320200808.638,13.780,657.227
250320200809.254,14.700,669.922
250320200809.254,14.700,683.594
250320200810.259,15.700,697.266
250320200811.261,16.700,666.992
250320200811.261,16.700,659.180
250320200812.271,17.720,685.547
250320200813.296,18.740,708.008
250320200814.308,19.760,719.727
250320200814.308,19.760,719.727
250320200815.170,20.620,722.656
250320200816.298,21.760,682.617
250320200816.298,21.760,696.289
250320200817.176,22.620,718.750
250320200818.327,23.780,750.977
250320200819.186,24.640,765.625
250320200819.186,24.640,736.328
250320200820.189,25.640,701.172
250320200821.198,26.640,693.359
250320200821.198,26.640,722.656
250320200822.347,27.800,716.797
250320200823.206,28.660,734.375
250320200824.349,29.800,729.492
250320200824.349,29.800,725.586
250320200825.214,30.660,696.289
250320200826.216,31.660,735.352
250320200827.220,32.660,730.469
250320200827.220,32.660,748.047
250320200828.229,33.680,736.328
250320200829.163,33.820,694.336
250320200829.163,33.820,719.727
250320200830.198,35.160,721.680
250320200831.213,36.180,712.891
250320200832.222,37.180,722.656
250320200832.223,37.180,714.844
250320200833.225,38.180,697.266
250320200834.278,39.240,677.734
250320200834.278,39.240,683.594
250320200835.168,40.140,686.523
250320200836.273,41.240,690.430
250320200836.273,41.240,686.523
250320200837.183,42.140,707.031
250320200838.186,43.160,680.664
250320200838.186,43.160,674.805
250320200839.299,44.260,653.320
250320200840.180,45.140,667.969
250320200840.180,45.140,671.875
250320200841.294,46.260,667.969
250320200842.182,47.140,689.453
250320200842.182,47.140,668.945
250320200843.295,48.260,661.133
250320200844.178,49.140,647.461
250320200844.178,49.140,655.273
250320200845.292,50.260,663.086
250320200846.181,51.140,670.898
250320200846.181,51.140,667.969
250320200847.296,52.260,663.086
250320200848.180,53.140,650.391
250320200848.180,53.140,666.016
250320200849.600,53.920,667.969
250320200850.188,54.820,681.641
250320200850.188,54.820,691.406
250320200851.201,55.840,687.500
250320200852.205,56.840,659.180
250320200852.205,56.840,673.828
250320200853.205,57.840,676.758
250320200854.213,58.860,670.898
250320200854.213,58.860,679.688
250320200855.232,59.860,666.016
250320200856.204,60.840,646.484
250320200856.204,60.840,648.438
250320200857.324,61.960,652.344
250320200858.162,62.800,652.344
250320200858.162,62.800,657.227
