datetime,sessionTime,ExciteOMeter
250320201519.802,0.440,0.00000
250320201519.802,1.180,0.00544
250320201519.802,1.180,0.01005
250320201519.802,2.260,0.05058
250320201519.803,3.160,0.00622
250320201519.803,3.160,0.01194
250320201519.803,4.220,0.04192
250320201519.803,5.260,0.13287
250320201519.803,5.260,0.14956
250320201519.803,6.320,0.18351
250320201519.803,6.320,0.12548
250320201519.803,7.220,0.09465
250320201519.803,8.260,0.00735
250320201519.803,9.160,0.04137
250320201519.803,9.160,0.03088
250320201519.803,10.360,0.02071
250320201519.803,10.500,0.01673
250320201519.803,10.500,0.01495
250320201519.803,11.740,0.09418
250320201519.803,11.740,0.28345
250320201519.803,12.680,0.31597
250320201519.803,13.740,0.29698
250320201519.803,13.740,0.26746
250320201519.803,14.640,0.23001
250320201519.803,15.680,0.16103
250320201519.803,15.680,0.21093
250320201519.803,16.720,0.18916
250320201519.803,17.780,0.22627
250320201519.803,17.780,0.21426
250320201519.803,18.680,0.17596
250320201519.803,18.680,0.10022
250320201519.803,19.720,0.07132
250320201519.803,20.780,0.02144
250320201519.803,20.780,0.05748
250320201519.803,21.680,0.03132
250320201519.803,22.720,0.05850
250320201519.803,22.720,0.07102
250320201519.803,23.760,0.05309
250320201519.803,24.660,0.07087
250320201519.803,24.660,0.28485
250320201519.803,25.720,0.23931
250320201519.803,26.760,0.20768
250320201519.803,26.760,0.20937
250320201519.803,27.660,0.15317
250320201519.803,28.720,0.16207
250320201519.803,28.720,0.13280
250320201519.803,29.780,0.18016
250320201519.803,30.520,0.31888
250320201519.803,30.520,0.28608
250320201519.803,31.160,0.10305
250320201519.803,31.160,0.15053
250320201519.803,32.220,0.24778
250320201519.803,33.280,0.28542
250320201519.803,33.280,0.29638
250320201519.803,34.340,0.29631
250320201519.803,34.340,0.20916
250320201519.803,35.240,0.12460
250320201519.804,36.300,0.01850
250320201519.804,36.300,0.02041
250320201519.804,37.220,0.01063
250320201519.804,38.280,0.06842
250320201519.804,38.280,0.11492
250320201519.804,39.180,0.07565
250320201519.804,40.220,0.05886
250320201519.804,40.220,0.08037
250320201519.804,41.140,0.05935
250320201519.804,42.180,0.08510
250320201519.804,42.180,0.06547
250320201519.804,43.220,0.08778
250320201519.804,44.280,0.14628
250320201519.804,44.280,0.22987
250320201519.804,45.180,0.40604
250320201519.804,45.180,0.38139
250320201519.804,46.220,0.45984
250320201519.804,47.260,0.49747
250320201519.804,47.260,0.46159
250320201519.804,48.160,0.38825
250320201519.804,48.160,0.35219
250320201519.804,49.220,0.45264
250320201519.804,50.260,0.40594
250320201519.804,50.260,0.39001
250320201519.804,50.560,0.37366
250320201519.804,51.660,0.35571
250320201519.804,51.660,0.39905
250320201519.804,52.700,0.36057
250320201519.804,52.700,0.37268
250320201519.804,53.760,0.26499
250320201519.804,54.640,0.30837
250320201519.804,54.640,0.26499
250320201519.804,55.700,0.24507
250320201519.804,56.740,0.27691
250320201519.804,56.740,0.24243
250320201519.804,57.640,0.24466
250320201519.804,57.640,0.27053
250320201519.804,58.680,0.31442
250320201519.804,59.740,0.40241
250320201519.804,59.740,0.47462
250320201519.804,60.660,0.51200
250320201519.804,60.660,0.54905
250320201519.804,61.720,0.58361
250320201519.804,62.780,0.62115
250320201519.804,62.780,0.65463
250320201519.804,63.680,0.52792
250320201519.804,63.680,0.71620
250320201519.804,64.740,0.63452
250320201519.804,64.740,0.59005
250320201519.804,65.780,0.51868
250320201519.804,66.680,0.39170
250320201519.804,66.680,0.33083
250320201519.804,67.720,0.31804
250320201519.804,67.720,0.36614
250320201519.805,68.780,0.38951
250320201519.805,69.680,0.31646
250320201519.805,69.680,0.25029
250320201519.805,70.580,0.33320
250320201519.805,71.240,0.29580
250320201519.805,71.240,0.40759
250320201519.805,72.140,0.29033
250320201519.805,73.180,0.29836
250320201519.805,73.180,0.22167
250320201519.805,74.240,0.33735
250320201519.805,74.240,0.39980
250320201519.805,75.140,0.47299
250320201519.805,76.200,0.50212
250320201519.805,76.200,0.44971
250320201519.805,77.280,0.37864
250320201519.805,77.280,0.28649
250320201519.805,78.060,0.45053
250320201519.805,78.080,0.59580
250320201519.805,78.080,0.59238
250320201519.805,78.080,0.59757
250320201519.805,78.080,0.59315
250320201519.805,78.080,0.58823
250320201519.805,78.080,0.60759
250320201519.805,78.080,0.57441
250320201519.805,78.080,0.61929
250320201519.805,78.080,0.59158
250320201519.805,78.080,0.51219
250320201519.805,78.080,0.54856
250320201519.805,78.080,0.60360
250320201519.805,79.020,0.60895
250320201519.805,79.020,0.61053
250320201519.805,79.940,0.64840
250320201519.805,79.940,0.62710
250320201519.805,81.000,0.48856
250320201519.805,81.960,0.39218
250320201519.805,81.960,0.42538
250320201519.805,82.980,0.44677
250320201519.805,82.980,0.37265
250320201519.805,84.000,0.40136
250320201519.805,85.020,0.40092
250320201519.805,85.020,0.39377
250320201519.805,85.900,0.49784
250320201519.805,85.900,0.68057
250320201519.805,86.920,0.75107
250320201519.806,87.940,0.74767
250320201519.806,87.940,0.72855
250320201519.806,88.960,0.69376
250320201519.806,88.960,0.63417
250320201519.806,89.980,0.69354
250320201519.806,90.720,0.63130
250320201519.806,90.720,0.64107
250320201519.806,91.500,0.59494
250320201519.806,91.500,0.62640
250320201519.806,92.520,0.64803
250320201519.806,93.400,0.71407
250320201519.806,93.400,0.77780
250320201519.806,94.420,0.76465
250320201519.806,94.420,0.75577
250320201519.806,95.440,0.80818
250320201519.806,95.440,0.84306
250320201519.806,96.460,0.80386
250320201519.806,97.360,0.78651
250320201519.806,97.360,0.72346
250320201519.806,98.520,0.68189
250320201519.806,98.520,0.68775
250320201519.806,99.560,0.59005
250320201519.806,100.420,0.53610
250320201519.806,100.420,0.57487
250320201519.806,101.460,0.48787
250320201519.806,101.460,0.57742
250320201519.806,102.500,0.63033
250320201519.806,102.500,0.67605
250320201519.806,103.520,0.66529
250320201519.806,104.420,0.56280
250320201519.806,104.420,0.56685
250320201519.806,105.440,0.59117
