datetime,sessionTime,RMSSD
250320201056.481,0.440,29.266
250320201056.481,1.180,29.266
250320201056.631,1.180,17.521
250320201057.375,2.260,14.503
250320201058.423,3.160,19.664
250320201059.316,3.160,18.678
250320201059.472,4.220,19.515
250320201100.512,5.260,17.731
250320201101.357,5.260,15.524
250320201101.365,6.320,16.360
250320201102.411,6.320,20.573
250320201102.582,7.220,21.529
250320201103.332,8.260,21.529
250320201104.402,9.160,15.047
250320201104.557,9.160,15.645
250320201105.302,10.360,16.360
250320201106.354,10.500,16.850
250320201106.499,10.500,17.713
250320201107.402,11.740,17.250
250320201108.448,11.740,9.653
250320201108.602,12.680,9.395
250320201109.347,13.740,9.538
250320201109.499,13.740,9.970
250320201110.398,14.640,10.180
250320201111.441,15.680,12.032
250320201111.596,15.680,12.258
250320201112.346,16.720,12.434
250320201113.387,17.780,11.784
250320201113.541,17.780,12.383
250320201114.441,18.680,12.348
250320201115.341,18.680,16.937
250320201115.494,19.720,17.707
250320201116.392,20.780,17.752
250320201117.440,20.780,15.024
250320201117.589,21.680,15.716
250320201118.340,22.720,14.286
250320201119.387,22.720,13.752
250320201119.538,23.760,14.463
250320201120.442,24.660,16.592
250320201121.884,24.660,9.949
250320201121.893,25.720,10.442
250320201122.361,26.760,10.689
250320201122.502,26.760,10.683
250320201123.403,27.660,12.180
250320201124.475,28.720,11.755
250320201124.623,28.720,12.284
250320201125.523,29.780,12.403
250320201125.673,30.520,10.232
250320201126.425,30.520,10.909
250320201127.505,31.160,15.948
250320201127.669,31.160,16.608
250320201128.419,32.220,16.694
250320201129.465,33.280,20.751
250320201129.617,33.280,21.676
250320201130.365,34.340,21.863
250320201131.419,34.340,21.721
250320201131.572,35.240,22.369
250320201132.324,36.300,21.996
250320201133.376,36.300,17.283
250320201133.521,37.220,17.924
250320201134.418,38.280,19.436
250320201135.464,38.280,14.475
250320201135.615,39.180,15.258
250320201136.362,40.220,14.590
250320201136.511,40.220,13.933
250320201137.405,41.140,14.430
250320201138.456,42.180,13.383
250320201138.601,42.180,14.073
250320201139.350,43.220,14.511
250320201139.499,44.280,12.519
250320201140.399,44.280,13.114
250320201141.445,45.180,10.219
250320201141.597,45.180,10.268
250320201142.425,46.220,10.185
