datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
250320201050.145,0.120,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201050.440,0.240,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201050.456,0.360,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201050.735,0.480,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201050.751,0.600,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201050.766,0.720,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201050.887,0.840,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.041,0.960,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.175,1.080,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.328,1.200,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.336,1.320,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.494,1.440,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.654,1.560,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.805,1.680,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.822,1.800,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201051.960,1.920,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201052.108,2.040,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201052.254,2.160,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201052.400,2.280,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201052.416,2.400,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201052.563,2.520,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201052.710,2.640,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201052.858,2.760,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.001,2.880,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.016,3.000,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.163,3.120,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.309,3.240,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.455,3.360,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.602,3.480,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.618,3.600,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.761,3.720,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201053.909,3.840,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.055,3.960,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.203,4.080,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.219,4.200,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.360,4.320,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.509,4.440,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.656,4.560,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.802,4.680,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.818,4.800,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
250320201054.962,4.920,2.1705,1.3614,-0.5674,0.9983,0.0584,0.0000,0.0000,6.7000,0.0000,0.0000
