datetime,sessionTime,RRi
250320201050.471,0.440,750.000
250320201051.181,1.180,673.828
250320201051.181,1.180,704.102
250320201052.270,2.260,685.547
250320201053.171,3.160,677.734
250320201053.171,3.160,669.922
250320201054.226,4.220,644.531
250320201055.258,5.260,620.117
250320201055.258,5.260,621.094
250320201056.331,6.320,612.305
250320201056.331,6.320,620.117
250320201057.228,7.220,626.953
250320201058.269,8.260,670.898
250320201059.166,9.160,678.711
250320201059.166,9.160,681.641
250320201100.367,10.360,688.477
250320201101.331,10.500,684.570
250320201101.331,10.500,671.875
250320201102.268,11.740,629.883
250320201102.268,11.740,641.602
250320201103.178,12.680,634.766
250320201104.256,13.740,638.672
250320201104.256,13.740,641.602
250320201105.155,14.640,656.250
250320201106.199,15.680,646.484
250320201106.199,15.680,626.953
250320201107.247,16.720,630.859
250320201108.304,17.780,627.930
250320201108.304,17.780,625.000
250320201109.202,18.680,635.742
250320201109.202,18.680,628.906
250320201110.246,19.720,635.742
250320201111.296,20.780,662.109
250320201111.296,20.780,656.250
250320201112.194,21.680,676.758
250320201113.239,22.720,674.805
250320201113.239,22.720,677.734
250320201114.287,23.760,678.711
250320201115.188,24.660,638.672
250320201115.188,24.660,635.742
250320201116.239,25.720,643.555
250320201117.288,26.760,654.297
250320201117.288,26.760,653.320
250320201118.186,27.660,647.461
250320201119.236,28.720,652.344
250320201119.236,28.720,658.203
250320201120.292,29.780,633.789
250320201121.860,30.520,623.047
250320201121.860,30.520,623.047
250320201122.203,31.160,630.859
250320201122.203,31.160,618.164
250320201123.256,32.220,600.586
250320201124.328,33.280,591.797
250320201124.328,33.280,589.844
250320201125.376,34.340,589.844
250320201125.376,34.340,604.492
250320201126.275,35.240,620.117
250320201127.345,36.300,657.227
250320201127.346,36.300,666.992
250320201128.266,37.220,680.664
250320201129.308,38.280,634.766
250320201129.308,38.280,634.766
250320201130.220,39.180,643.555
250320201131.261,40.220,663.086
250320201131.261,40.220,657.227
250320201132.173,41.140,666.992
250320201133.221,42.180,669.922
250320201133.221,42.180,670.898
250320201134.265,43.220,644.531
250320201135.313,44.280,644.531
250320201135.313,44.280,616.211
250320201136.212,45.180,606.445
250320201136.212,45.180,610.352
250320201137.262,46.220,597.656
250320201138.304,47.260,594.727
250320201138.305,47.260,596.680
250320201139.201,48.160,610.352
250320201139.201,48.160,622.070
250320201140.254,49.220,610.352
250320201141.299,50.260,623.047
250320201141.299,50.260,634.766
250320201142.401,50.560,634.766
250320201143.192,51.660,647.461
250320201143.192,51.660,642.578
250320201144.245,52.700,635.742
250320201144.245,52.700,629.883
250320201145.292,53.760,631.836
250320201146.186,54.640,623.047
250320201146.186,54.640,631.836
250320201147.232,55.700,645.508
250320201148.285,56.740,641.602
250320201148.285,56.740,639.648
250320201149.177,57.640,644.531
250320201149.177,57.640,628.906
250320201150.226,58.680,609.375
250320201151.278,59.740,603.516
250320201151.279,59.740,596.680
