datetime,sessionTime,RMSSD
250327213514.726,7.580,29.696
250327213514.726,8.580,29.696
250327213515.760,8.580,32.373
250327213516.753,9.560,26.010
250327213516.759,10.600,23.950
250327213517.741,10.600,23.514
250327213518.737,11.580,24.978
250327213518.743,12.580,26.279
250327213519.721,12.580,28.328
250327213520.757,13.560,24.271
250327213520.762,14.600,24.027
250327213521.746,15.600,19.769
250327213522.738,15.600,19.433
250327213522.742,16.580,20.474
250327213523.729,17.580,18.054
250327213524.719,17.580,15.954
250327213524.723,18.560,14.133
250327213525.754,19.600,11.010
250327213526.741,19.600,10.593
250327213527.733,20.580,14.222
250327213527.737,21.580,14.978
250327213528.770,21.580,14.415
250327213529.756,22.560,19.577
250327213530.749,23.560,19.159
250327213530.753,23.560,20.130
250327213531.740,24.600,25.590
250327213532.729,25.580,35.097
250327213533.714,26.560,40.682
250327213533.719,26.560,41.830
250327213534.796,27.600,41.626
250327213535.833,28.600,41.561
250327213536.733,29.580,38.191
250327213536.738,29.580,40.034
250327213537.722,30.580,40.182
250327213538.754,31.560,34.945
250327213538.758,32.560,26.993
250327213539.746,32.560,22.390
250327213540.733,33.640,12.654
250327213541.727,34.660,15.948
250327213541.732,35.560,16.656
250327213542.715,35.560,16.512
250327213543.751,36.560,16.804
250327213543.756,37.600,16.930
250327213544.738,37.600,16.757
250327213545.732,38.580,16.833
250327213545.737,39.580,16.961
250327213546.720,40.560,17.039
250327213547.758,40.560,16.274
250327213547.762,41.560,13.629
250327213548.748,42.580,13.860
250327213549.734,42.580,11.258
250327213549.739,43.580,9.463
250327213550.732,44.580,10.457
250327213551.715,44.580,16.892
250327213551.720,45.560,16.814
250327213552.749,46.600,17.729
250327213552.753,46.600,18.506
250327213553.743,47.580,20.190
250327213554.732,48.580,23.079
250327213554.737,48.580,24.249
250327213555.722,49.560,24.596
250327213556.757,50.560,23.099
250327213556.762,50.560,23.550
250327213557.744,51.580,19.720
250327213558.734,51.580,19.320
250327213558.739,52.580,18.523
250327213559.726,53.560,16.208
250327213600.716,53.560,15.561
250327213600.721,54.560,13.414
250327213601.751,55.600,12.795
250327213602.741,55.600,14.593
250327213602.746,56.580,15.379
250327213603.730,57.580,18.657
250327213604.766,57.580,18.276
250327213605.759,58.560,41.891
250327213605.764,59.560,44.127
250327213606.748,59.560,56.921
250327213607.738,60.580,54.999
250327213607.743,61.580,57.959
250327213608.728,61.580,57.385
250327213609.714,62.560,56.422
250327213609.719,63.600,58.496
250327213610.751,64.600,59.027
250327213611.744,64.600,54.743
250327213612.729,65.580,41.658
250327213612.735,66.580,24.953
250327213613.724,66.580,22.600
250327213614.757,67.560,21.747
250327213614.763,68.560,22.923
250327213615.748,68.560,23.043
250327213616.734,69.580,16.915
250327213616.740,70.580,15.864
250327213617.773,71.560,14.319
250327213618.718,71.560,13.308
250327213618.722,72.560,13.784
250327213619.795,73.600,12.729
250327213620.744,73.600,11.342
250327213621.730,74.580,11.309
250327213621.735,75.580,11.894
250327213622.723,75.580,10.772
250327213623.802,76.620,11.747
250327213623.807,77.560,12.378
250327213624.790,77.560,12.357
250327213625.783,78.640,11.275
250327213625.787,79.580,10.149
250327213626.725,80.560,9.782
250327213627.718,80.580,9.543
250327213627.723,81.560,8.177
250327213628.753,82.640,10.850
250327213629.743,82.640,11.567
250327213629.748,83.620,11.750
250327213630.732,84.620,13.579
250327213631.725,84.620,18.131
250327213631.732,85.560,19.012
250327213632.759,86.560,22.269
250327213633.748,86.560,24.344
250327213633.752,87.600,25.609
250327213634.737,88.580,25.259
250327213635.725,88.580,25.151
250327213635.731,89.560,25.526
250327213636.715,90.560,25.359
250327213637.751,90.560,23.054
250327213637.755,91.600,21.634
250327213638.742,92.580,18.804
250327213639.731,92.580,32.658
250327213640.725,93.580,33.079
250327213640.730,94.560,34.316
250327213641.754,94.560,35.877
250327213641.760,95.560,37.678
250327213642.747,96.580,38.192
250327213643.740,96.580,36.902
250327213643.744,97.580,38.876
250327213644.725,98.560,39.265
250327213645.716,99.560,27.198
250327213646.752,99.560,27.352
250327213646.757,100.600,28.296
250327213647.743,100.600,39.863
250327213648.734,101.580,38.522
250327213648.739,102.580,39.643
250327213649.719,102.580,39.877
250327213650.755,103.560,37.714
250327213650.761,104.560,38.978
250327213651.748,105.580,40.609
250327213652.734,105.580,38.875
250327213652.739,106.580,37.319
250327213653.728,107.580,22.383
250327213654.714,107.580,20.452
250327213654.720,108.560,19.220
250327213655.750,109.600,18.600
250327213656.741,109.600,28.650
250327213656.745,110.580,29.490
250327213657.731,111.580,29.126
250327213658.723,111.580,34.814
250327213659.759,112.560,33.703
250327213659.765,113.560,35.453
250327213700.749,113.560,156.870
250327213701.736,114.580,179.133
250327213701.742,115.580,188.822
250327213702.728,115.580,179.535
250327213702.732,116.560,187.749
250327213703.718,117.560,177.949
250327213703.722,118.600,186.521
250327213704.753,118.600,176.866
250327213704.758,119.580,186.423
250327213705.739,120.580,101.107
250327213705.745,120.580,55.234
250327213706.731,121.560,15.348
250327213707.723,121.560,27.606
250327213707.728,122.560,28.740
250327213708.756,122.560,30.142
250327213709.747,123.580,35.310
250327213710.738,123.580,43.214
250327213710.743,124.580,45.458
250327213711.726,124.580,45.531
250327213712.717,125.560,45.464
250327213712.722,126.560,47.922
250327213713.797,126.560,50.422
250327213714.788,127.600,42.813
250327213715.732,128.580,41.545
250327213715.736,129.580,39.356
250327213716.723,129.580,133.294
250327213717.754,130.560,143.617
250327213717.759,131.560,151.335
250327213718.748,131.560,152.332
250327213719.736,132.640,144.351
250327213719.740,133.620,151.321
250327213720.724,134.560,151.811
250327213721.716,134.560,151.894
250327213722.752,135.560,163.434
250327213723.740,136.600,96.161
250327213723.744,136.600,85.135
250327213724.733,137.580,71.819
250327213725.720,138.580,66.214
250327213725.724,138.580,69.062
250327213726.754,139.560,69.013
250327213727.746,140.560,67.709
250327213728.738,141.600,63.253
250327213728.744,142.580,27.921
250327213729.725,142.580,13.551
250327213730.716,143.580,12.665
250327213730.723,144.560,11.467
250327213731.755,144.560,7.799
250327213732.743,145.600,13.261
250327213732.749,146.580,13.975
250327213733.733,147.580,13.853
250327213734.720,147.580,13.223
250327213735.759,148.560,22.842
250327213735.764,149.560,24.075
250327213736.746,149.560,24.321
250327213737.733,150.600,24.934
250327213738.723,151.580,24.605
250327213738.729,151.580,24.157
250327213739.713,152.580,29.432
250327213739.718,153.560,30.940
250327213740.749,154.600,31.214
250327213741.740,154.600,29.302
250327213742.731,155.580,25.312
250327213742.735,156.580,26.439
250327213743.723,157.560,34.035
250327213744.757,157.560,33.609
250327213745.748,158.560,33.550
250327213745.753,158.560,30.871
250327213746.737,159.580,28.590
250327213747.727,160.580,32.327
250327213747.733,161.560,33.976
250327213748.717,161.560,34.657
250327213749.753,162.560,31.578
250327213749.759,163.600,24.859
250327213750.737,164.580,27.049
250327213750.742,164.580,28.445
250327213751.734,165.580,26.655
250327213752.722,166.560,26.003
250327213752.727,166.560,23.167
250327213753.758,167.560,30.049
250327213754.755,168.600,28.290
250327213754.763,168.600,29.676
250327213755.735,169.580,29.863
250327213756.770,169.580,35.526
250327213756.775,170.560,35.672
250327213757.718,171.560,37.029
250327213758.749,171.560,37.451
250327213758.753,172.600,38.936
250327213759.741,173.580,30.365
250327213759.746,173.580,30.868
250327213800.734,174.580,30.822
250327213801.721,175.600,30.592
250327213802.845,175.600,25.512
250327213802.850,176.560,25.181
250327213803.794,177.580,26.204
250327213803.799,177.580,24.000
250327213804.780,178.580,25.038
250327213805.725,178.580,24.018
250327213805.730,179.580,24.842
250327213806.715,180.560,25.747
250327213807.752,181.680,24.800
250327213807.755,181.680,21.651
250327213808.743,182.640,21.521
250327213809.731,182.640,20.575
250327213809.734,183.620,15.689
250327213810.722,184.560,15.841
250327213811.755,184.560,15.990
250327213811.759,185.560,16.396
250327213812.743,186.580,15.683
250327213813.738,186.580,15.598
250327213813.744,187.580,15.699
250327213814.731,188.560,13.287
250327213815.717,188.560,15.731
250327213815.723,189.560,15.513
250327213816.749,190.600,14.928
250327213817.740,190.600,17.272
250327213817.745,191.580,18.063
250327213818.734,192.580,17.755
250327213819.723,192.580,16.434
250327213819.729,193.560,17.296
250327213820.710,194.560,18.933
250327213821.746,194.560,17.024
250327213821.751,195.580,16.722
250327213822.736,196.580,19.859
250327213823.726,196.580,21.839
250327213823.733,197.580,22.496
250327213824.713,198.560,22.212
250327213825.750,198.560,21.415
250327213825.754,199.540,22.572
250327213826.741,200.580,21.661
250327213827.735,200.580,23.547
250327213827.739,201.580,24.457
250327213828.722,202.560,21.480
250327213828.727,202.560,16.386
250327213829.712,203.560,16.643
250327213830.749,204.580,15.921
250327213830.753,204.580,16.754
250327213831.737,205.580,17.830
250327213832.728,206.580,44.490
250327213833.717,206.580,44.060
250327213833.722,207.560,45.938
250327213834.754,207.560,48.145
250327213835.743,208.540,49.985
250327213835.749,209.580,52.544
250327213836.731,209.580,51.922
250327213836.736,210.580,54.721
250327213837.723,211.560,54.818
250327213838.753,212.560,36.515
250327213839.750,212.560,36.664
250327213840.738,213.600,77.509
250327213840.744,214.580,80.130
250327213841.729,214.580,79.474
250327213842.715,215.560,77.627
250327213843.753,215.560,78.867
250327213843.758,216.560,82.349
250327213844.744,217.600,83.100
250327213845.732,218.580,83.771
250327213846.718,219.580,82.053
250327213847.714,219.580,39.222
250327213848.745,220.560,143.463
250327213848.751,221.560,151.164
250327213849.736,222.580,162.274
250327213850.726,222.580,155.875
250327213850.732,223.580,161.494
250327213851.716,224.560,161.005
250327213852.794,225.560,152.582
250327213852.798,226.540,160.830
250327213853.786,227.580,160.476
250327213854.731,227.580,79.623
250327213855.723,228.580,73.323
250327213855.730,229.560,49.244
250327213856.711,229.560,42.777
250327213857.744,230.560,41.846
250327213858.732,231.640,40.658
250327213858.737,231.640,42.140
250327213859.726,232.620,42.060
250327213900.718,233.560,42.084
