datetime,sessionTime,RRi
250327213508.738,7.580,789.063
250327213509.729,8.580,775.391
250327213509.729,8.580,723.633
250327213510.719,9.560,683.594
250327213511.751,10.600,650.391
250327213511.751,10.600,644.531
250327213512.744,11.580,649.414
250327213513.730,12.580,662.109
250327213513.730,12.580,700.195
250327213514.720,13.560,726.563
250327213515.755,14.600,685.547
250327213516.749,15.600,682.617
250327213516.749,15.600,684.570
250327213517.736,16.580,714.844
250327213518.734,17.580,738.281
250327213518.734,17.580,710.938
250327213519.715,18.560,676.758
250327213520.752,19.600,666.016
250327213520.752,19.600,667.969
250327213521.740,20.580,669.922
250327213522.734,21.580,685.547
250327213522.734,21.580,690.430
250327213523.723,22.560,681.641
250327213524.714,23.560,676.758
250327213524.714,23.560,688.477
250327213525.749,24.600,709.961
250327213526.736,25.580,715.820
250327213527.727,26.560,687.500
250327213527.727,26.560,672.852
250327213528.765,27.600,682.617
250327213529.751,28.600,722.656
250327213530.743,29.580,735.352
250327213530.743,29.580,723.633
250327213531.735,30.580,772.461
250327213532.724,31.560,847.656
250327213533.709,32.560,799.805
250327213533.709,32.560,743.164
250327213534.792,33.640,735.352
250327213535.827,34.660,742.188
250327213536.728,35.560,749.023
250327213536.728,35.560,724.609
250327213537.717,36.560,708.984
250327213538.748,37.600,716.797
250327213538.748,37.600,718.750
250327213539.741,38.580,703.125
250327213540.729,39.580,691.406
250327213541.721,40.560,705.078
250327213541.721,40.560,736.328
250327213542.710,41.560,734.375
250327213543.745,42.580,711.914
250327213543.745,42.580,690.430
250327213544.733,43.580,687.500
250327213545.728,44.580,686.523
250327213545.728,44.580,668.945
250327213546.715,45.560,656.250
250327213547.753,46.600,664.063
250327213547.753,46.600,676.758
250327213548.744,47.580,668.945
250327213549.730,48.580,663.086
250327213549.730,48.580,660.156
250327213550.726,49.560,673.828
250327213551.710,50.560,655.273
250327213551.710,50.560,616.211
250327213552.744,51.580,605.469
250327213552.744,51.580,630.859
250327213553.738,52.580,658.203
250327213554.725,53.560,688.477
250327213554.725,53.560,660.156
250327213555.717,54.560,647.461
250327213556.751,55.600,656.250
250327213556.751,55.600,657.227
250327213557.739,56.580,651.367
250327213558.729,57.580,664.063
250327213558.729,57.580,677.734
